"","ID","datos.fecha.","tratadata","Sexo","Edad","Idioma","estudios","UPPSPItems.UPPS1.","UPPSPItems.UPPS2.","UPPSPItems.UPPS3.","UPPSPItems.UPPS4.","UPPSPItems.UPPS5.","UPPSPItems.UPPS6.","UPPSPItems.UPPS7.","UPPSPItems.UPPS8.","UPPSPItems.UPPS9.","UPPSPItems.UPPS10.","UPPSPItems.UPPS11.","UPPSPItems.UPPS12.","UPPSPItems.UPPS13.","UPPSPItems.UPPS14.","UPPSPItems.UPPS15.","UPPSPItems.UPPS16.","UPPSPItems.UPPS17.","UPPSPItems.UPPS18.","UPPSPItems.UPPS19.","UPPSPItems.UPPS20.","FCQTItems.FCQT1.","FCQTItems.FCQT2.","FCQTItems.FCQT3.","FCQTItems.FCQT4.","FCQTItems.FCQT5.","FCQTItems.FCQT6.","FCQTItems.FCQT7.","FCQTItems.FCQT8.","FCQTItems.FCQT9.","FCQTItems.FCQT10.","FCQTItems.FCQT11.","FCQTItems.FCQT12.","FCQTItems.FCQT13.","FCQTItems.FCQT14.","FCQTItems.FCQT15.","FCQTItems.FCQT16.","FCQTItems.FCQT17.","FCQTItems.FCQT18.","FCQTItems2.FCQT19.","FCQTItems2.FCQT20.","FCQTItems2.FCQT21.","FCQTItems2.FCQT22.","FCQTItems2.FCQT23.","FCQTItems2.FCQT24.","FCQTItems2.FCQT25.","FCQTItems2.FCQT26.","FCQTItems2.FCQT27.","FCQTItems2.FCQT28.","FCQTItems2.FCQT29.","FCQTItems2.FCQT30.","FCQTItems2.FCQT31.","FCQTItems2.FCQT32.","FCQTItems2.FCQT33.","FCQTItems2.FCQT34.","FCQTItems2.FCQT35.","FCQTItems2.FCQT36.","FCQTItems2.FCQT37.","FCQTItems2.FCQT38.","FCQTItems2.FCQT39.","MulticageItems.MC1.","MulticageItems.MC2.","MulticageItems.MC3.","MulticageItems.MC4."
"1",332876,"20/10/2023",1,2,20,1,4,2,2,2,1,2,1,2,1,3,2,1,2,2,2,2,1,2,2,1,1,4,3,3,5,5,5,5,5,5,5,5,6,4,4,5,5,5,5,4,5,4,5,5,6,6,3,4,4,4,4,5,4,3,5,5,5,4,4,4,"SI","SI","SI","SI"
"2",788245,"23 de octubre de 2023",1,2,20,1,4,2,2,2,1,1,2,1,2,2,2,2,2,2,1,3,1,2,1,1,1,4,3,3,3,3,2,4,2,3,3,5,4,3,3,3,3,3,3,3,4,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,"NO","NO","NO","NO"
"3",876262,"22 de octubre de 2023",1,2,20,1,4,1,3,4,4,1,1,2,2,4,4,2,3,1,2,4,1,2,4,1,3,3,2,2,2,3,2,3,1,2,3,5,3,4,2,4,4,3,4,3,2,3,5,2,3,3,1,1,2,1,2,3,2,3,4,3,2,3,3,2,"SI","NO","NO","NO"
"4",242706,"23/10/2023",1,2,26,1,4,1,2,2,3,2,1,4,3,3,1,3,3,1,2,2,1,2,2,2,1,4,4,5,5,3,1,3,1,2,2,3,2,2,5,2,3,3,2,3,3,3,5,5,3,2,4,1,1,3,1,4,3,4,5,4,2,3,5,5,"SI","SI","SI","NO"
"5",234160,"24/10/2023",1,3,22,1,4,1,2,4,2,2,1,1,1,4,2,2,3,1,3,4,1,2,4,1,2,3,4,5,3,5,2,4,2,3,1,5,5,3,2,4,5,3,4,3,4,2,3,2,2,2,3,1,2,1,2,2,1,3,3,4,1,3,5,4,"NO","SI","NO","NO"
"6",686972,"24-10-2023",1,2,19,1,4,1,2,3,2,2,1,1,1,3,3,1,3,2,2,3,1,3,3,2,2,4,4,3,2,2,2,2,2,2,3,4,4,3,2,2,3,1,2,2,2,2,3,3,3,2,1,1,2,2,1,2,2,2,3,3,2,1,2,2,"NO","NO","NO","NO"
"7",131205,"25/10/2023",1,2,20,1,4,2,3,3,2,2,2,2,3,3,3,3,2,2,2,3,3,2,3,3,2,4,2,3,3,2,2,1,2,2,1,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,2,1,1,2,2,2,1,3,4,4,2,3,3,3,"NO","SI","NO","NO"
"8",374326,"25 octubre 2023",1,2,18,1,4,2,1,2,2,1,3,4,2,1,2,1,4,2,1,3,1,3,1,2,1,3,4,4,5,3,3,6,2,3,2,3,3,3,2,5,2,5,2,3,5,2,3,2,2,3,4,2,2,5,3,2,2,5,5,3,3,4,5,5,"SI","SI","NO","NO"
"9",366817,"25/10/2023",1,2,18,1,4,1,3,4,3,1,1,4,1,3,3,1,4,2,2,4,1,4,2,3,1,3,5,5,2,3,2,2,2,1,1,4,3,3,3,3,1,2,3,2,2,2,2,3,2,2,2,2,3,2,2,1,1,2,4,3,2,2,2,2,"NO","SI","SI","NO"
"10",155724,"27/10/2023",1,2,19,1,4,2,3,3,2,1,2,3,2,3,2,2,3,2,2,3,2,3,2,2,2,3,3,3,2,3,2,1,2,3,4,4,4,3,2,4,4,1,4,4,2,3,4,3,4,2,2,1,2,2,2,2,3,1,4,3,3,3,3,2,"NO","NO","NO","NO"
"11",705617,"27/10/2023",1,2,21,1,4,1,2,3,2,1,2,2,2,4,2,2,3,1,2,3,2,1,2,1,2,3,1,2,2,1,1,3,1,3,3,4,2,2,3,3,2,3,1,3,4,2,2,3,4,2,2,1,1,1,2,1,1,1,5,2,5,3,3,2,"NO","NO","NO","NO"
"12",213223,"30.11.2023",1,1,20,1,3,2,2,2,1,2,2,1,2,2,2,2,2,2,1,3,2,2,1,2,1,5,4,3,3,4,3,3,3,3,3,4,5,2,3,4,5,3,3,4,5,4,4,3,4,4,3,3,3,3,2,2,3,4,6,4,5,5,5,5,"NO","SI","NO","NO"
"13",433766,"30/10/2023",1,2,18,1,3,2,3,3,1,2,4,2,3,4,2,3,2,2,3,4,3,1,4,2,2,5,4,5,4,4,3,3,3,4,5,5,6,5,2,5,5,3,3,3,6,5,5,4,5,5,3,2,2,3,3,4,4,5,5,5,4,5,6,6,"NO","SI","SI","NO"
"14",910328,"30/10/2023",1,2,21,1,3,2,1,2,2,2,3,1,2,2,2,2,3,3,2,3,2,2,2,2,1,4,2,3,3,3,3,3,2,3,4,4,5,5,3,3,3,2,4,3,4,3,4,4,3,3,2,2,2,2,2,3,3,3,3,3,4,3,3,3,"NO","NO","SI","NO"
"15",297095,"31/10/2023",1,2,21,1,4,1,3,2,3,1,1,2,2,2,2,2,3,1,1,3,1,3,1,1,2,3,4,4,4,3,3,4,2,3,2,3,3,4,2,4,3,4,3,3,4,3,4,4,3,5,4,3,2,4,2,5,3,3,5,5,3,4,4,4,"SI","SI","SI","SI"
"16",539628,"02/11/2023",1,2,18,1,4,1,2,4,2,1,1,1,2,4,1,1,2,1,1,4,1,4,2,1,1,4,3,2,1,3,1,1,3,2,4,6,4,4,1,6,3,1,4,4,5,3,6,6,6,1,1,1,2,1,1,3,1,4,1,2,2,3,4,3,"NO","NO","NO","NO"
"17",599842,"2 de Noviembre de 2023",1,2,21,1,4,2,3,2,3,1,2,2,2,3,4,2,4,2,3,4,2,4,2,1,2,4,1,3,1,2,1,1,3,3,3,4,5,3,2,6,3,2,3,4,5,3,3,3,3,1,1,1,2,1,3,2,2,3,2,3,1,4,3,4,"NO","NO","SI","NO"
"18",194163,"03-11-2023",1,2,18,1,4,2,2,1,2,1,2,3,2,2,1,1,2,2,1,3,1,3,1,2,2,3,5,6,4,4,3,4,4,4,5,6,6,5,5,6,6,5,3,3,2,4,5,4,5,2,6,4,4,5,4,4,5,5,6,6,5,5,3,1,"SI","SI","SI","SI"
"19",826697,"03-11-2023",1,2,20,1,4,1,2,2,2,1,1,2,2,3,1,2,4,2,3,4,2,4,2,1,2,3,3,4,4,3,2,2,2,3,2,6,3,1,3,5,4,2,2,3,3,3,3,2,5,2,3,1,2,3,2,3,1,2,2,2,2,3,3,2,"NO","SI","NO","NO"
"20",728457,"06/11/2023",1,2,19,1,4,1,2,2,3,1,1,3,1,3,3,1,3,2,2,4,1,4,2,2,2,4,2,2,4,3,2,3,3,3,2,4,5,5,2,3,3,2,2,2,4,3,4,3,5,3,2,2,2,1,1,1,1,3,2,4,2,3,4,4,"SI","NO","NO","NO"
